ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
34078,Winona Ryder,MN,United States,US,1971,Female,ACTOR
34095,Wilma Rudolph,TN,United States,US,1940,Female,ATHLETE
34108,William Lipscomb,OH,UNITED STATES,US,1919,Male,CHEMIST
36592,Gus Grissom,IN,UNITED STATES,US,1926,Male,ASTRONAUT
36594,Edward Higgins White,TX,UNITED STATES,US,1930,Male,ASTRONAUT
36753,Magic Johnson,MI,UNITED STATES,US,1959,Male,BASKETBALL PLAYER
36882,Blake Edwards,OK,UNITED STATES,US,1922,Male,FILM DIRECTOR
37243,Harriet Tubman,MD,United States,US,1820,Female,WRITER
46165,Charlton Heston,IL,UNITED STATES,US,1923,Male,ACTOR
37313,Bruce Lee,CA,UNITED STATES,US,1940,Male,ACTOR
37332,J. Willard Gibbs,CT,UNITED STATES,US,1839,Male,PHYSICIST
37342,Linus Pauling,OR,UNITED STATES,US,1901,Male,CHEMIST
37661,Alfred Kinsey,NJ,UNITED STATES,US,1894,Male,PSYCHOLOGIST
37736,Roger Zelazny,OH,United States,US,1937,Male,WRITER
53242,Robin Williams,IL,UNITED STATES,US,1951,Male,ACTOR
38368,John Carmack,KS,UNITED STATES,US,1970,Male,BUSINESSPERSON
184136,Ted Kennedy,MA,UNITED STATES,US,1932,Male,POLITICIAN
322401,John Mott,NY,United States,US,1865,Male,DIPLOMAT
31535,Timothy McVeigh,NY,UNITED STATES,US,1968,Male,EXTREMIST
203756,Bhumibol Adulyadej,MA,United States,US,1927,Male,POLITICIAN
39075,Spiro Agnew,MD,UNITED STATES,US,1918,Male,POLITICIAN
320172,Joyce Carol Oates,NY,UNITED STATES,US,1938,Female,WRITER
247468,Oscar Gutierrez,CA,UNITED STATES,US,1974,Male,WRESTLER
40400,James Garfield,OH,United States,US,1831,Male,POLITICIAN
53855,Benny Goodman,IL,UNITED STATES,US,1909,Male,MUSICIAN
357114,Othniel Charles Marsh,NY,United States,US,1831,Male,ARCHAEOLOGIST
428893,Mike Portnoy,NY,United States,US,1967,Male,MUSICIAN
42083,Clark Gable,OH,United States,US,1901,Male,ACTOR
24231931,Chris Colfer,CA,UNITED STATES,US,1990,Male,ACTOR
42091,John Dillinger,IN,United States,US,1903,Male,MAFIOSO
172395,Larry Ellison,NY,UNITED STATES,US,1944,Male,BUSINESSPERSON
8083,Dr. Dre,CA,UNITED STATES,US,1965,Male,SINGER
52724,Krist Novoselic,CA,UNITED STATES,US,1965,Male,MUSICIAN
42172,Walter Mondale,MN,United States,US,1928,Male,POLITICIAN
89163,William A. Wheeler,NY,UNITED STATES,US,1819,Male,POLITICIAN
42198,Charles M. Schulz,MN,UNITED STATES,US,1922,Male,COMIC ARTIST
54360,Frank Drake,IL,UNITED STATES,US,1930,Male,ASTRONOMER
42620,Grace Kelly,PA,UNITED STATES,US,1929,Female,ACTOR
163169,Eazy-E,CA,UNITED STATES,US,1963,Male,SINGER
42635,Charles Manson,OH,United States,US,1934,Male,EXTREMIST
42636,Hubert Humphrey,SD,United States,US,1911,Male,POLITICIAN
42751,J. Michael Straczynski,NJ,United States,US,1954,Male,WRITER
